date,price,yr_built
4/6/2015,1.16E+06,1902
11/12/2014,449950,1902
5/27/2014,751750,1902
2/18/2015,286000,1902
4/8/2015,390000,1902
1/28/2015,350000,1902
3/1/2015,490000,1902
9/23/2014,317500,1902
7/7/2014,443000,1902
5/5/2014,740000,1902
5/13/2015,900000,1902
2/26/2015,525000,1902
9/8/2014,750000,1902
7/25/2014,260000,1902
7/24/2014,431000,1902
8/4/2014,780500,1902
6/27/2014,480000,1902
6/26/2014,1.99E+06,1902
9/22/2014,591000,1902
11/13/2014,799000,1902
8/19/2014,640000,1903
11/26/2014,495000,1903
11/20/2014,440000,1903
6/4/2014,200000,1903
1/16/2015,415000,1903
6/12/2014,580000,1903
8/7/2014,311000,1903
10/23/2014,402500,1903
10/1/2014,429592,1903
9/24/2014,167500,1903
10/22/2014,825000,1903
5/15/2014,197500,1903
7/18/2014,567035,1903
4/6/2015,650500,1903
5/14/2014,682000,1903
2/6/2015,225000,1903
10/24/2014,230000,1903
11/26/2014,345000,1903
6/19/2014,311000,1903
2/19/2015,935000,1903
11/7/2014,449000,1903
12/11/2014,752000,1903
1/2/2015,520000,1903
4/22/2015,325000,1903
6/3/2014,545000,1903
10/9/2014,725000,1903
6/26/2014,750000,1903
10/9/2014,349950,1903
9/16/2014,550000,1903
4/9/2015,465000,1903
12/2/2014,230000,1903
2/2/2015,519000,1903
3/27/2015,555000,1903
6/27/2014,1.02E+06,1903
3/26/2015,170000,1903
7/23/2014,425000,1903
11/11/2014,457000,1903
7/10/2014,525000,1903
1/22/2015,650000,1903
5/6/2014,499000,1903
10/20/2014,310000,1903
4/22/2015,389000,1903
7/17/2014,235000,1903
2/24/2015,540000,1903
11/18/2014,774900,1903
5/20/2014,345600,1903
12/30/2014,640000,1904
3/20/2015,410000,1904
4/21/2015,435000,1904
2/18/2015,330000,1904
5/12/2015,885000,1904
5/22/2014,494400,1904
1/26/2015,716000,1904
3/25/2015,221000,1904
5/14/2014,538000,1904
1/21/2015,452000,1904
9/30/2014,764000,1904
4/2/2015,420000,1904
7/14/2014,980000,1904
6/23/2014,345000,1904
3/25/2015,350000,1904
10/23/2014,204995,1904
6/12/2014,350000,1904
11/11/2014,515000,1904
6/6/2014,500000,1904
9/23/2014,245000,1904
3/16/2015,345000,1904
5/7/2014,420000,1904
5/16/2014,785000,1904
12/10/2014,733500,1904
8/7/2014,292000,1904
6/28/2014,650000,1904
9/11/2014,415000,1904
8/12/2014,403504,1904
9/18/2014,885000,1904
9/26/2014,279000,1904
3/4/2015,750000,1904
4/9/2015,500000,1904
10/14/2014,687500,1904
8/21/2014,478000,1904
2/20/2015,550000,1904
4/22/2015,456200,1904
2/24/2015,589000,1904
4/23/2015,1.03E+06,1904
7/16/2014,350000,1904
2/10/2015,615000,1904
6/30/2014,435000,1904
9/15/2014,299950,1904
10/20/2014,3.30E+06,1904
8/15/2014,345000,1904
8/11/2014,885000,1904
3/4/2015,570000,1905
6/25/2014,890000,1905
5/13/2015,2.05E+06,1905
4/7/2015,795000,1905
6/12/2014,2.25E+06,1905
11/5/2014,631000,1905
6/30/2014,1.20E+06,1905
8/11/2014,495000,1905
3/18/2015,780000,1905
9/24/2014,1.32E+06,1905
12/21/2014,1.05E+06,1905
4/27/2015,852000,1905
10/23/2014,327000,1905
10/17/2014,782000,1905
8/14/2014,400000,1905
6/13/2014,285000,1905
11/13/2014,210000,1905
1/22/2015,157500,1905
8/12/2014,474000,1905
6/19/2014,197500,1905
7/16/2014,345000,1905
11/25/2014,549000,1905
4/14/2015,935000,1905
6/20/2014,1.33E+06,1905
6/13/2014,1.03E+06,1905
4/28/2015,863500,1905
7/2/2014,580000,1905
8/27/2014,950000,1905
2/25/2015,450000,1905
3/3/2015,90000,1905
12/9/2014,2.19E+06,1905
4/6/2015,575000,1905
2/9/2015,500000,1905
5/11/2015,426250,1905
4/17/2015,1.22E+06,1905
11/13/2014,595000,1905
9/10/2014,462500,1905
5/9/2014,463000,1905
1/14/2015,1.38E+06,1905
1/7/2015,998500,1905
3/6/2015,1.33E+06,1905
10/6/2014,1.44E+06,1905
2/13/2015,600000,1905
5/7/2014,705000,1905
4/24/2015,458500,1905
6/9/2014,425000,1905
4/15/2015,425000,1905
6/27/2014,191000,1905
10/9/2014,402000,1905
4/8/2015,313100,1905
7/28/2014,690000,1905
12/30/2014,230000,1905
6/23/2014,471001,1905
8/26/2014,518000,1905
12/2/2014,403000,1905
5/8/2015,450000,1905
8/22/2014,750000,1905
12/29/2014,1.43E+06,1905
8/4/2014,385000,1905
5/13/2014,1.11E+06,1905
5/1/2015,562500,1905
6/3/2014,847000,1905
6/17/2014,1.19E+06,1905
5/7/2014,775000,1905
5/6/2014,485000,1905
6/20/2014,780000,1905
5/4/2015,710000,1905
7/15/2014,400000,1905
4/22/2015,570000,1905
8/11/2014,1.33E+06,1905
3/23/2015,435000,1905
7/21/2014,1.80E+06,1905
4/17/2015,675000,1905
1/16/2015,820000,1905
5/20/2014,271310,1906
2/5/2015,515000,1906
2/24/2015,380000,1906
8/8/2014,725000,1906
11/7/2014,655000,1906
4/22/2015,1.27E+06,1906
5/14/2014,800000,1906
10/1/2014,625000,1906
5/19/2014,440000,1906
6/5/2014,875000,1906
4/24/2015,1.60E+06,1906
11/11/2014,1.13E+06,1906
10/1/2014,1.33E+06,1906
2/27/2015,450000,1906
9/18/2014,575000,1906
10/28/2014,206000,1906
7/7/2014,494000,1906
11/26/2014,933000,1906
3/4/2015,632500,1906
2/2/2015,399950,1906
5/28/2014,840000,1906
11/5/2014,302000,1906
6/26/2014,670000,1906
11/12/2014,750000,1906
10/27/2014,720000,1906
5/12/2014,350000,1906
7/24/2014,335000,1906
7/18/2014,739375,1906
7/14/2014,1.73E+06,1906
12/3/2014,2.73E+06,1906
5/4/2015,626700,1906
5/13/2014,799200,1906
7/25/2014,550000,1906
7/24/2014,549000,1906
6/13/2014,1.34E+06,1906
5/14/2014,339950,1906
6/3/2014,440000,1906
9/10/2014,875000,1906
5/19/2014,333000,1906
7/14/2014,810000,1906
1/14/2015,470000,1906
12/3/2014,601150,1906
2/4/2015,370000,1906
12/18/2014,570000,1906
3/6/2015,1.23E+06,1906
8/15/2014,514000,1906
11/13/2014,275000,1906
6/30/2014,408000,1906
6/9/2014,435000,1906
5/7/2014,500000,1906
6/24/2014,483000,1906
2/5/2015,535000,1906
7/24/2014,530000,1906
10/1/2014,625000,1906
9/30/2014,462500,1906
2/20/2015,965000,1906
1/22/2015,360000,1906
5/8/2014,1.75E+06,1906
7/16/2014,565000,1906
8/25/2014,439950,1906
12/22/2014,200000,1906
9/22/2014,535000,1906
5/28/2014,840500,1906
6/27/2014,500000,1906
6/19/2014,549000,1906
9/2/2014,477000,1906
1/30/2015,662500,1906
4/22/2015,705000,1906
10/16/2014,775000,1906
7/8/2014,165000,1906
1/22/2015,490000,1906
4/7/2015,760000,1906
5/21/2014,430000,1906
7/2/2014,782000,1906
5/20/2014,430000,1906
6/27/2014,523460,1906
9/8/2014,865000,1906
12/3/2014,762000,1906
10/6/2014,825000,1906
5/1/2015,600000,1906
3/4/2015,2.14E+06,1906
12/30/2014,190000,1906
11/21/2014,579000,1906
10/27/2014,420000,1906
4/1/2015,540000,1906
6/13/2014,538000,1906
12/4/2014,665000,1906
2/13/2015,560000,1906
9/8/2014,1.00E+06,1906
3/26/2015,208500,1906
2/11/2015,316000,1906
4/10/2015,385000,1906
12/3/2014,437500,1907
10/22/2014,610000,1907
6/23/2014,690000,1907
12/29/2014,614000,1907
4/8/2015,701000,1907
9/3/2014,2.35E+06,1907
7/19/2014,519000,1907
4/14/2015,700000,1907
12/29/2014,515000,1907
2/2/2015,700000,1907
5/19/2014,762000,1907
5/22/2014,926300,1907
5/28/2014,681000,1907
6/22/2014,802000,1907
9/24/2014,575000,1907
8/15/2014,330000,1907
6/19/2014,590300,1907
7/28/2014,2.40E+06,1907
9/24/2014,675000,1907
7/30/2014,595000,1907
6/16/2014,667000,1907
2/27/2015,395000,1907
3/31/2015,225800,1907
8/18/2014,312000,1907
9/5/2014,659000,1907
9/29/2014,815241,1907
7/23/2014,552500,1907
8/8/2014,219950,1907
8/13/2014,225000,1907
7/1/2014,245000,1907
12/2/2014,1.02E+06,1907
5/6/2015,298000,1907
11/19/2014,595000,1907
4/28/2015,595000,1907
9/20/2014,615000,1907
9/23/2014,417000,1907
7/1/2014,515000,1907
11/12/2014,870000,1907
5/22/2014,492000,1907
5/4/2015,455000,1907
10/29/2014,1.17E+06,1907
3/24/2015,1.33E+06,1907
10/7/2014,565000,1907
8/22/2014,1.40E+06,1907
6/23/2014,335000,1907
9/26/2014,569500,1907
4/9/2015,805000,1907
4/30/2015,645000,1907
11/7/2014,707500,1907
7/10/2014,797000,1907
10/14/2014,319500,1907
4/28/2015,450000,1907
10/9/2014,890000,1907
12/29/2014,202000,1907
2/23/2015,485000,1907
3/27/2015,540000,1907
1/28/2015,800000,1907
10/7/2014,565000,1907
9/10/2014,330000,1907
8/6/2014,529000,1907
6/27/2014,295000,1907
4/16/2015,710000,1907
9/29/2014,740000,1907
12/3/2014,900000,1907
7/14/2014,1.52E+06,1907
5/5/2015,405000,1908
2/28/2015,550700,1908
12/26/2014,381156,1908
6/3/2014,930000,1908
6/12/2014,315000,1908
4/27/2015,700000,1908
8/27/2014,825000,1908
6/24/2014,819000,1908
2/18/2015,169317,1908
2/2/2015,583500,1908
9/12/2014,460000,1908
11/24/2014,569000,1908
1/6/2015,555000,1908
7/7/2014,588000,1908
12/1/2014,180000,1908
7/18/2014,524000,1908
2/24/2015,345000,1908
2/19/2015,700000,1908
10/31/2014,556000,1908
12/5/2014,425000,1908
2/25/2015,855000,1908
11/4/2014,457500,1908
5/5/2014,549000,1908
1/23/2015,227064,1908
10/4/2014,330600,1908
1/6/2015,700000,1908
5/22/2014,600000,1908
1/15/2015,245000,1908
1/28/2015,530000,1908
5/5/2014,823000,1908
2/11/2015,111300,1908
5/28/2014,370000,1908
4/2/2015,535000,1908
9/4/2014,185000,1908
6/25/2014,690500,1908
11/14/2014,358000,1908
1/8/2015,455000,1908
6/16/2014,375000,1908
5/20/2014,570000,1908
12/30/2014,1.54E+06,1908
7/7/2014,295000,1908
12/20/2014,1.32E+06,1908
8/20/2014,645000,1908
4/1/2015,2.54E+06,1908
11/10/2014,713500,1908
6/16/2014,332000,1908
2/4/2015,550000,1908
12/9/2014,470000,1908
5/8/2015,370000,1908
12/9/2014,675000,1908
3/23/2015,826000,1908
7/24/2014,499950,1908
10/21/2014,650000,1908
3/9/2015,649000,1908
7/3/2014,341000,1908
10/17/2014,474000,1908
4/30/2015,1.55E+06,1908
4/29/2015,370000,1908
4/20/2015,567000,1908
5/19/2014,368000,1908
7/25/2014,1.75E+06,1908
6/5/2014,165000,1908
1/20/2015,436000,1908
11/14/2014,505000,1908
9/16/2014,329900,1908
7/17/2014,262500,1908
6/11/2014,476000,1908
1/21/2015,140000,1908
4/2/2015,775000,1908
12/2/2014,420000,1908
10/6/2014,517950,1908
5/19/2014,485000,1908
6/17/2014,729000,1908
10/23/2014,521000,1908
8/26/2014,480000,1908
3/26/2015,300000,1908
2/25/2015,572000,1908
10/15/2014,315450,1908
3/17/2015,261500,1908
11/17/2014,600000,1908
3/27/2015,580000,1908
7/25/2014,700000,1908
11/17/2014,475000,1908
9/24/2014,130000,1908
8/1/2014,672600,1908
4/29/2015,655000,1908
12/1/2014,667000,1909
6/19/2014,378750,1909
7/17/2014,375000,1909
10/28/2014,532500,1909
4/29/2015,729953,1909
6/2/2014,439900,1909
7/15/2014,445000,1909
8/25/2014,554000,1909
7/14/2014,576000,1909
8/13/2014,765000,1909
8/11/2014,350000,1909
6/17/2014,473000,1909
5/21/2014,1.51E+06,1909
3/19/2015,680000,1909
5/15/2014,613000,1909
12/1/2014,1.21E+06,1909
11/26/2014,489950,1909
5/2/2014,1.40E+06,1909
4/22/2015,430000,1909
10/3/2014,412000,1909
3/31/2015,670000,1909
12/1/2014,330000,1909
7/14/2014,716100,1909
5/21/2014,475000,1909
10/30/2014,404500,1909
6/11/2014,800000,1909
4/27/2015,375000,1909
10/23/2014,620000,1909
10/4/2014,750000,1909
10/27/2014,361500,1909
5/5/2014,670000,1909
5/16/2014,605000,1909
6/12/2014,545000,1909
12/9/2014,678940,1909
4/27/2015,257000,1909
4/8/2015,249000,1909
9/19/2014,540000,1909
4/16/2015,1.00E+06,1909
10/30/2014,685000,1909
7/3/2014,529950,1909
7/15/2014,600000,1909
11/20/2014,961000,1909
7/3/2014,1.76E+06,1909
9/17/2014,315000,1909
11/25/2014,616500,1909
7/24/2014,362362,1909
4/13/2015,660000,1909
3/4/2015,550500,1909
5/2/2015,581000,1909
1/7/2015,575000,1909
9/26/2014,392500,1909
5/21/2014,360000,1909
7/18/2014,485000,1909
12/3/2014,865000,1909
3/30/2015,467000,1909
3/10/2015,570000,1909
1/30/2015,185900,1909
4/16/2015,498000,1909
9/17/2014,518000,1909
10/26/2014,390000,1909
6/11/2014,735000,1909
3/27/2015,710000,1909
12/3/2014,365500,1909
10/15/2014,765000,1909
11/25/2014,488000,1909
10/27/2014,1.05E+06,1909
5/13/2014,620000,1909
8/18/2014,1.18E+06,1909
7/28/2014,925000,1909
5/29/2014,395000,1909
2/12/2015,3.07E+06,1909
4/14/2015,575000,1909
10/1/2014,690000,1909
3/4/2015,705000,1909
10/10/2014,575000,1909
6/9/2014,980000,1909
9/29/2014,1.46E+06,1909
5/29/2014,1.43E+06,1909
5/30/2014,645500,1909
11/5/2014,512500,1909
9/2/2014,500000,1909
11/14/2014,460000,1909
12/8/2014,2.63E+06,1909
8/6/2014,415000,1909
9/2/2014,384950,1909
3/12/2015,745000,1909
2/18/2015,475000,1909
7/2/2014,2.15E+06,1909
9/11/2014,390000,1909
7/9/2014,580000,1909
11/24/2014,950000,1909
9/16/2014,550000,1909
7/25/2014,629000,1909
11/21/2014,724950,1909
6/11/2014,850830,1910
9/24/2014,542000,1910
10/16/2014,493000,1910
8/28/2014,915000,1910
9/16/2014,425000,1910
3/25/2015,505000,1910
7/7/2014,195000,1910
3/17/2015,900000,1910
8/29/2014,682000,1910
3/20/2015,707500,1910
1/2/2015,252000,1910
6/20/2014,210000,1910
4/2/2015,662700,1910
5/23/2014,478000,1910
1/16/2015,176500,1910
4/27/2015,990000,1910
11/18/2014,450000,1910
11/7/2014,1.68E+06,1910
11/4/2014,546000,1910
5/12/2014,255000,1910
10/13/2014,389000,1910
5/11/2015,521000,1910
2/4/2015,1.60E+06,1910
7/22/2014,380000,1910
12/16/2014,405000,1910
4/8/2015,625000,1910
5/11/2015,210000,1910
7/28/2014,527500,1910
6/18/2014,375000,1910
10/6/2014,639000,1910
5/28/2014,335000,1910
8/4/2014,680000,1910
6/3/2014,785200,1910
3/30/2015,1.26E+06,1910
9/23/2014,1.20E+06,1910
2/23/2015,390000,1910
5/7/2015,934550,1910
5/6/2015,476900,1910
10/16/2014,567500,1910
3/11/2015,678500,1910
4/20/2015,320000,1910
4/13/2015,306000,1910
5/28/2014,150000,1910
5/9/2014,490000,1910
6/10/2014,480000,1910
5/8/2014,1.04E+06,1910
12/16/2014,250000,1910
4/22/2015,570000,1910
7/31/2014,417500,1910
5/7/2014,3.20E+06,1910
10/13/2014,7.70E+06,1910
3/26/2015,550000,1910
10/16/2014,450000,1910
1/20/2015,537000,1910
7/14/2014,980000,1910
3/27/2015,480000,1910
6/12/2014,440000,1910
1/27/2015,799990,1910
9/3/2014,415000,1910
3/25/2015,320000,1910
2/19/2015,417200,1910
11/6/2014,1.01E+06,1910
3/27/2015,603500,1910
7/18/2014,670000,1910
4/20/2015,375000,1910
11/3/2014,734000,1910
8/12/2014,713000,1910
11/19/2014,290000,1910
7/9/2014,840000,1910
8/10/2014,720001,1910
6/26/2014,1.25E+06,1910
4/20/2015,570000,1910
9/11/2014,711000,1910
7/25/2014,665000,1910
5/11/2015,438600,1910
12/26/2014,575000,1910
11/21/2014,800000,1910
8/14/2014,255000,1910
5/12/2014,870300,1910
3/24/2015,404500,1910
6/16/2014,524000,1910
9/3/2014,257000,1910
10/16/2014,315000,1910
12/8/2014,760000,1910
5/7/2015,370000,1910
5/13/2015,380000,1910
3/26/2015,550000,1910
7/11/2014,400000,1910
9/26/2014,2.89E+06,1910
7/7/2014,558000,1910
5/8/2015,275000,1910
10/21/2014,999000,1910
3/18/2015,153500,1910
6/20/2014,390000,1910
6/19/2014,499000,1910
4/8/2015,935000,1910
4/2/2015,470000,1910
9/18/2014,525000,1910
1/22/2015,500000,1910
2/10/2015,645000,1910
1/20/2015,596000,1910
6/5/2014,564000,1910
3/31/2015,600000,1910
5/7/2014,530000,1910
5/13/2014,560000,1910
11/5/2014,986000,1910
3/23/2015,160000,1910
6/16/2014,650000,1910
10/13/2014,842500,1910
7/14/2014,270000,1910
7/7/2014,631500,1910
8/14/2014,245000,1910
4/21/2015,675000,1910
5/27/2014,427000,1910
2/23/2015,260000,1910
9/2/2014,883000,1910
8/13/2014,539950,1910
4/2/2015,424305,1910
7/1/2014,952500,1910
6/2/2014,544000,1910
3/27/2015,543000,1910
12/23/2014,383000,1910
11/18/2014,650000,1910
7/10/2014,740000,1910
6/11/2014,234000,1910
11/6/2014,315000,1910
11/21/2014,365000,1910
12/11/2014,1.03E+06,1910
9/22/2014,727500,1910
6/25/2014,519000,1910
10/28/2014,1.01E+06,1910
8/15/2014,900000,1910
10/2/2014,400000,1910
7/9/2014,749000,1910
12/2/2014,780000,1911
7/22/2014,791500,1911
4/3/2015,597500,1911
7/28/2014,565000,1911
6/3/2014,850000,1911
1/21/2015,715000,1911
5/9/2014,428750,1911
9/24/2014,425000,1911
1/16/2015,635000,1911
5/14/2014,175000,1911
3/4/2015,625000,1911
6/30/2014,410000,1911
2/25/2015,302000,1911
8/20/2014,260000,1911
2/25/2015,575000,1911
5/23/2014,399500,1911
8/18/2014,705000,1911
9/18/2014,709000,1911
10/14/2014,1.44E+06,1911
6/2/2014,395000,1911
9/11/2014,1.39E+06,1911
5/29/2014,750500,1911
8/22/2014,470000,1911
10/2/2014,618000,1911
6/23/2014,500000,1911
5/13/2014,415000,1911
3/11/2015,805000,1911
12/2/2014,792500,1911
3/24/2015,366350,1911
12/22/2014,650000,1911
8/18/2014,313300,1911
4/8/2015,631000,1911
8/6/2014,329000,1911
3/4/2015,606000,1911
3/16/2015,619500,1911
12/6/2014,320000,1911
5/11/2015,475000,1911
6/26/2014,402000,1911
6/12/2014,445000,1911
12/4/2014,350000,1911
3/18/2015,700000,1911
8/4/2014,898500,1911
12/1/2014,450000,1911
11/25/2014,750000,1911
7/1/2014,563000,1911
7/28/2014,650000,1911
9/8/2014,270000,1911
4/23/2015,334900,1911
4/22/2015,635000,1911
6/19/2014,680000,1911
10/3/2014,747000,1911
2/20/2015,1.31E+06,1911
5/30/2014,399000,1911
3/4/2015,575000,1911
4/1/2015,790000,1911
9/16/2014,385000,1911
11/21/2014,735000,1911
9/10/2014,265000,1911
9/22/2014,360000,1911
8/12/2014,2.20E+06,1911
8/5/2014,2.30E+06,1911
5/4/2015,747000,1911
9/13/2014,570000,1911
6/12/2014,920000,1911
8/21/2014,184900,1911
8/11/2014,390000,1911
8/6/2014,640000,1911
5/4/2015,510000,1911
8/12/2014,850000,1911
4/9/2015,628000,1911
12/18/2014,229950,1911
8/25/2014,850000,1911
5/12/2014,630000,1911
5/23/2014,80000,1912
5/6/2014,450000,1912
11/25/2014,664000,1912
1/23/2015,550000,1912
7/10/2014,600000,1912
10/8/2014,450000,1912
4/29/2015,450000,1912
8/20/2014,830000,1912
5/15/2014,451555,1912
4/14/2015,1.25E+06,1912
5/9/2014,280950,1912
11/12/2014,392450,1912
5/11/2015,245000,1912
9/15/2014,765000,1912
5/19/2014,2.10E+06,1912
11/14/2014,1.05E+06,1912
8/15/2014,475000,1912
9/15/2014,796000,1912
11/10/2014,600000,1912
8/25/2014,438500,1912
4/23/2015,600000,1912
6/4/2014,2.40E+06,1912
5/4/2015,1.00E+06,1912
1/9/2015,629000,1912
9/16/2014,209900,1912
4/16/2015,940000,1912
9/18/2014,657500,1912
9/12/2014,1.03E+06,1912
6/25/2014,870000,1912
2/17/2015,323000,1912
4/23/2015,865000,1912
6/19/2014,186000,1912
7/18/2014,170000,1912
6/4/2014,760500,1912
10/28/2014,490000,1912
8/7/2014,230950,1912
6/2/2014,985000,1912
2/6/2015,557510,1912
2/10/2015,1.12E+06,1912
9/22/2014,925000,1912
9/3/2014,591500,1912
10/20/2014,570000,1912
11/6/2014,410000,1912
6/26/2014,755000,1912
12/8/2014,500000,1912
10/14/2014,619500,1912
6/26/2014,450000,1912
4/13/2015,625000,1912
9/25/2014,407000,1912
5/19/2014,700000,1912
12/11/2014,429000,1912
4/17/2015,625000,1912
8/25/2014,1.00E+06,1912
1/28/2015,580000,1912
8/25/2014,585000,1912
10/13/2014,470000,1912
7/8/2014,201500,1912
3/23/2015,459000,1912
4/2/2015,412000,1912
6/16/2014,552000,1912
8/1/2014,190000,1912
3/18/2015,300000,1912
8/26/2014,448500,1912
8/6/2014,385000,1912
1/21/2015,464000,1912
7/3/2014,100000,1912
4/23/2015,730000,1912
4/13/2015,975000,1912
5/7/2014,160000,1912
6/26/2014,219500,1912
3/29/2015,540000,1912
12/22/2014,705000,1912
5/22/2014,940000,1912
12/24/2014,325000,1912
7/8/2014,517000,1912
3/16/2015,770000,1912
12/3/2014,209000,1912
5/8/2014,930000,1912
3/24/2015,724950,1912
2/17/2015,725000,1913
8/15/2014,650000,1913
9/22/2014,263000,1913
5/4/2015,510000,1913
4/6/2015,390000,1913
10/27/2014,275000,1913
5/27/2014,688000,1913
3/24/2015,752500,1913
12/5/2014,115000,1913
9/19/2014,195000,1913
1/8/2015,349950,1913
2/16/2015,555750,1913
10/10/2014,775000,1913
10/13/2014,194990,1913
7/22/2014,279000,1913
6/24/2014,1.16E+06,1913
12/23/2014,510000,1913
9/9/2014,535000,1913
9/12/2014,509000,1913
9/11/2014,1.27E+06,1913
6/20/2014,200000,1913
6/25/2014,1.36E+06,1913
2/24/2015,709000,1913
11/7/2014,195000,1913
11/16/2014,326000,1913
8/28/2014,360000,1913
8/22/2014,203700,1913
10/29/2014,680000,1913
3/18/2015,675000,1913
6/3/2014,437000,1913
8/25/2014,608000,1913
3/5/2015,130000,1913
5/7/2014,300000,1913
8/16/2014,739000,1913
7/20/2014,666570,1913
3/25/2015,800000,1913
7/1/2014,1.64E+06,1913
9/5/2014,649000,1913
7/30/2014,286000,1913
4/10/2015,920000,1913
3/20/2015,1.23E+06,1913
12/17/2014,340000,1913
12/22/2014,550000,1913
6/23/2014,1.22E+06,1913
5/6/2015,715000,1913
2/23/2015,265000,1913
4/1/2015,812000,1913
10/20/2014,500000,1913
6/16/2014,375000,1913
10/13/2014,526000,1913
10/1/2014,1.33E+06,1913
8/22/2014,852000,1913
7/23/2014,455000,1913
2/5/2015,240000,1913
12/29/2014,660000,1913
3/25/2015,168000,1913
2/26/2015,794500,1913
8/14/2014,819000,1913
3/2/2015,1.45E+06,1914
6/22/2014,565000,1914
2/12/2015,200000,1914
10/14/2014,455000,1914
10/6/2014,207000,1914
3/12/2015,370000,1914
3/13/2015,775000,1914
6/25/2014,562100,1914
7/16/2014,645000,1914
7/1/2014,955500,1914
10/27/2014,135000,1914
4/29/2015,248000,1914
1/12/2015,400000,1914
9/2/2014,544500,1914
8/20/2014,400000,1914
10/22/2014,650000,1914
7/10/2014,800000,1914
4/8/2015,767500,1914
4/23/2015,280000,1914
3/19/2015,578888,1914
4/7/2015,710000,1914
2/22/2015,279950,1914
10/14/2014,509250,1914
1/7/2015,580000,1914
6/30/2014,1.93E+06,1914
6/18/2014,190000,1914
8/26/2014,450000,1914
5/7/2015,665000,1914
5/12/2015,670000,1914
8/5/2014,650000,1914
7/29/2014,995000,1914
9/19/2014,350000,1914
9/4/2014,808250,1914
11/17/2014,410000,1914
4/14/2015,530000,1914
12/23/2014,756450,1914
6/5/2014,356000,1914
10/15/2014,730000,1914
10/1/2014,998500,1914
4/25/2015,712500,1914
5/7/2014,1.50E+06,1914
3/27/2015,715000,1914
4/20/2015,426000,1914
4/20/2015,295000,1914
3/18/2015,334000,1914
9/11/2014,1.85E+06,1914
3/12/2015,250000,1914
8/4/2014,415000,1914
10/3/2014,335000,1914
6/12/2014,600000,1914
7/22/2014,189900,1914
5/19/2014,1.19E+06,1914
4/12/2015,341000,1914
10/30/2014,513000,1914
